station,frequency,norm
97.9,761.71875,24.338453
97.9,765.625,24.619495
97.9,769.53125,42.69497
97.9,773.4375,60.284285
97.9,777.34375,43.242918
97.9,781.25,60.404499
97.9,785.15625,0.967444
97.9,789.0625,50.885144
97.9,792.96875,41.077961
97.9,796.875,13.159219
97.9,800.78125,54.349091
97.9,804.6875,32.377374
97.9,808.59375,70.281323
97.9,812.5,55.572361
97.9,816.40625,50.515819
97.9,820.3125,54.360071
97.9,824.21875,13.155898
97.9,828.125,68.352469
97.9,832.03125,41.403335
97.9,835.9375,70.865077
97.9,839.84375,71.078521
97.9,843.75,41.973769
97.9,847.65625,111.733083
97.9,851.5625,49.508099
97.9,855.46875,61.807612
97.9,859.375,52.190386
97.9,863.28125,31.519717
97.9,867.1875,36.336175
97.9,871.09375,10.941784
97.9,875.0,39.998763
97.9,878.90625,59.15104
97.9,882.8125,45.737339
97.9,886.71875,57.15519
97.9,890.625,79.327666
97.9,894.53125,65.208214
97.9,898.4375,66.428846
97.9,902.34375,65.36562
97.9,906.25,31.158805
97.9,910.15625,48.874665
97.9,914.0625,47.778361
97.9,917.96875,39.830398
97.9,921.875,51.958249
97.9,925.78125,64.72311
97.9,929.6875,29.491317
97.9,933.59375,92.463566
97.9,937.5,49.53518
97.9,941.40625,50.780272
97.9,945.3125,101.685632
97.9,949.21875,52.379552
97.9,953.125,151.088582
97.9,957.03125,39.283031
97.9,960.9375,105.797604
97.9,964.84375,64.136308
97.9,968.75,55.099174
97.9,972.65625,18.805044
97.9,976.5625,88.395035
97.9,980.46875,31.202083
97.9,984.375,143.032465
97.9,988.28125,106.206805
97.9,992.1875,129.06859
97.9,996.09375,57.998243
97.9,1000.0,53.948634
97.9,1003.90625,90.951668
97.9,1007.8125,56.569132
97.9,1011.71875,156.238512
97.9,1015.625,19.890182
97.9,1019.53125,26.900429
97.9,1023.4375,97.50153
97.9,1027.34375,39.007694
97.9,1031.25,29.634679
97.9,1035.15625,44.758884
97.9,1039.0625,110.704645
97.9,1042.96875,122.292221
97.9,1046.875,80.980897
97.9,1050.78125,70.624908
97.9,1054.6875,129.700199
97.9,1058.59375,51.439292
97.9,1062.5,113.935924
97.9,1066.40625,72.735301
97.9,1070.3125,69.187848
97.9,1074.21875,81.163859
97.9,1078.125,72.573437
97.9,1082.03125,72.925338
97.9,1085.9375,92.960978
97.9,1089.84375,50.812327
97.9,1093.75,117.841228
97.9,1097.65625,161.693308
97.9,1101.5625,98.560604
97.9,1105.46875,79.013036
97.9,1109.375,126.844301
97.9,1113.28125,43.714074
97.9,1117.1875,76.990537
97.9,1121.09375,60.099162
97.9,1125.0,102.731281
97.9,1128.90625,107.901887
97.9,1132.8125,37.961898
97.9,1136.71875,18.469668
97.9,1140.625,33.942163
97.9,1144.53125,81.219454
97.9,1148.4375,103.904858
97.9,1152.34375,56.595561
97.9,1156.25,47.859207
97.9,1160.15625,19.237992
97.9,1164.0625,89.333363
97.9,1167.96875,101.586411
97.9,1171.875,42.727841
97.9,1175.78125,72.399529
97.9,1179.6875,40.543168
97.9,1183.59375,22.886164
97.9,1187.5,23.629292
97.9,1191.40625,105.674986
97.9,1195.3125,108.605156
97.9,1199.21875,75.730312
97.9,1203.125,71.372452
97.9,1207.03125,128.034393
97.9,1210.9375,56.443405
97.9,1214.84375,67.143441
97.9,1218.75,19.373793
97.9,1222.65625,21.790814
97.9,1226.5625,95.394948
97.9,1230.46875,84.565041
97.9,1234.375,103.97808
97.9,1238.28125,86.508584
97.9,1242.1875,24.892238
97.9,1246.09375,61.688987
97.9,1250.0,71.29164
97.9,1253.90625,32.435357
97.9,1257.8125,82.906618
97.9,1261.71875,83.5245
97.9,1265.625,167.087359
97.9,1269.53125,37.785342
97.9,1273.4375,104.582973
97.9,1277.34375,58.778957
97.9,1281.25,53.208465
97.9,1285.15625,68.169791
97.9,1289.0625,78.906632
97.9,1292.96875,150.314636
97.9,1296.875,132.564597
97.9,1300.78125,81.536937
97.9,1304.6875,61.119849
97.9,1308.59375,82.994738
97.9,1312.5,226.453381
97.9,1316.40625,92.133432
97.9,1320.3125,72.701295
97.9,1324.21875,85.416184
97.9,1328.125,128.887498
97.9,1332.03125,144.930675
97.9,1335.9375,191.52326
97.9,1339.84375,147.070755
97.9,1343.75,110.440611
97.9,1347.65625,47.005933
97.9,1351.5625,285.695962
97.9,1355.46875,97.040413
97.9,1359.375,121.789356
97.9,1363.28125,109.225553
97.9,1367.1875,160.59941
97.9,1371.09375,194.20784
97.9,1375.0,194.39373
97.9,1378.90625,132.190772
97.9,1382.8125,71.498006
97.9,1386.71875,214.696604
97.9,1390.625,164.015615
97.9,1394.53125,228.414294
97.9,1398.4375,106.037777
97.9,1402.34375,96.662442
97.9,1406.25,160.842076
97.9,1410.15625,175.134182
97.9,1414.0625,127.645297
97.9,1417.96875,133.669368
97.9,1421.875,214.94043
97.9,1425.78125,106.593144
97.9,1429.6875,237.393887
97.9,1433.59375,94.798949
97.9,1437.5,25.860064
97.9,1441.40625,49.765957
97.9,1445.3125,166.879358
97.9,1449.21875,72.786265
97.9,1453.125,146.375099
97.9,1457.03125,54.82966
97.9,1460.9375,8.193921
97.9,1464.84375,98.672396
97.9,1468.75,56.055097
97.9,1472.65625,69.513756
97.9,1476.5625,87.818198
97.9,1480.46875,31.752643
97.9,1484.375,114.901297
97.9,1488.28125,32.772695
97.9,1492.1875,98.217027
97.9,1496.09375,106.962302
97.9,1500.0,61.835503
97.9,1503.90625,9.642359
97.9,1507.8125,73.40638
97.9,1511.71875,47.662572
97.9,1515.625,80.728175
97.9,1519.53125,79.610964
97.9,1523.4375,38.695172
97.9,1527.34375,72.327448
97.9,1531.25,77.934674
97.9,1535.15625,44.560365
97.9,1539.0625,31.26395
97.9,1542.96875,13.817926
97.9,1546.875,73.260549
97.9,1550.78125,53.677287
97.9,1554.6875,80.990355
97.9,1558.59375,28.696553
97.9,1562.5,31.317914
97.9,1566.40625,62.320368
97.9,1570.3125,146.349601
97.9,1574.21875,83.660293
97.9,1578.125,92.475583
97.9,1582.03125,14.178849
97.9,1585.9375,75.646193
97.9,1589.84375,50.015323
97.9,1593.75,43.940076
97.9,1597.65625,59.782489
97.9,1601.5625,42.577674
97.9,1605.46875,61.972059
97.9,1609.375,104.729245
97.9,1613.28125,48.796876
97.9,1617.1875,30.28236
97.9,1621.09375,64.613144
97.9,1625.0,48.81896
97.9,1628.90625,20.879595
97.9,1632.8125,67.964631
97.9,1636.71875,25.568052
97.9,1640.625,37.556208
97.9,1644.53125,45.672269
97.9,1648.4375,91.186252
97.9,1652.34375,115.320862
97.9,1656.25,31.987939
97.9,1660.15625,100.391094
97.9,1664.0625,44.625313
97.9,1667.96875,67.427375
97.9,1671.875,65.085858
97.9,1675.78125,50.643828
97.9,1679.6875,11.514391
97.9,1683.59375,70.153532
97.9,1687.5,3.909453
97.9,1691.40625,61.488735
97.9,1695.3125,57.937562
97.9,1699.21875,49.450052
97.9,1703.125,81.393649
97.9,1707.03125,9.329956
97.9,1710.9375,79.13539
97.9,1714.84375,76.735867
97.9,1718.75,66.391303
97.9,1722.65625,39.895293
97.9,1726.5625,44.713195
97.9,1730.46875,20.481238
97.9,1734.375,78.998941
97.9,1738.28125,82.555835
97.9,1742.1875,19.620745
97.9,1746.09375,67.309605
97.9,1750.0,34.3518
97.9,1753.90625,18.240763
97.9,1757.8125,92.848061
97.9,1761.71875,51.294415
97.9,1765.625,66.057268
97.9,1769.53125,18.783145
97.9,1773.4375,41.502057
97.9,1777.34375,24.978732
97.9,1781.25,45.188625
97.9,1785.15625,77.387403
97.9,1789.0625,60.356252
97.9,1792.96875,75.299402
97.9,1796.875,37.97815
97.9,1800.78125,34.40283
97.9,1804.6875,19.583976
97.9,1808.59375,22.927927
97.9,1812.5,104.120819
97.9,1816.40625,35.510341
97.9,1820.3125,47.495944
97.9,1824.21875,49.166195
97.9,1828.125,26.760695
97.9,1832.03125,72.039295
97.9,1835.9375,49.916406
